form	lemma	POS	morph
འབྲོམ་	འབྲོམ་	PROPN
སྟོན་པ་	སྟོན་པ་	NOUN
ས་	གིས་	PART
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
ཇོ་བོ་	ཇོ་བོ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ལྷ་	ལྷ་	NOUN
གཅིག་	གཅིག་	NUM
གིས་	གིས་	PART
རྒྱལ་སྲིད་	རྒྱལ་སྲིད་	NOUN
སྤངས་	སྤངས་	VERB
ན་	ནས་	PART
ཐར་པ་	ཐར་པ་	VERB
ར་	ལ་	PART
བྱོན་པ་	བྱོན་པ་	VERB
འི་	གི་	PART
རྣམ་ཐར་	རྣམ་ཐར་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	སོ་	PART
།།		PUNCT
རྒྱ་གར་	རྒྱ་གར་	PROPN
སྐད་	སྐད་	NOUN
དུ་	ལ་	PART
།		PUNCT
གུ་རུ་	གུ་རུ་	PROPN
གུ་	གུ་	OTHER
ཎ་		NON_WORD
དྷརྨ་		NON_WORD
ཨཱ་	ཨཱ་	NO_POS
ཀ་ར་	ཀ་ར་	OTHER
ན་	ན་	ADP
ནཱ་མ་	ནཱ་མ་	NO_POS
།		PUNCT
བོད་སྐད་	བོད་སྐད་	PROPN
དུ་	ལ་	PART
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
ཡོན་ཏན་	ཡོན་ཏན་	NOUN
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
འབྱུང་གནས་	འབྱུང་གནས་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
།		PUNCT
བསྟན་པ་	བསྟན་པ་	VERB
འི་	གི་	PART
རྩ་ལག་	རྩ་ལག་	OTHER
སྐྱེས་མཆོག་	སྐྱེས་མཆོག་	NOUN
དམ་པ་	དམ་པ་	VERB
རྣམས་	རྣམས་	DET
ལ་	ལ་	ADP
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	ལོ་	NOUN
། །		PUNCT
སྐྱེ་རྒུ་	སྐྱེ་རྒུ་	NOUN
ཉོན་མོངས་	ཉོན་མོངས་	NOUN
ཚད་པ་	ཚད་པ་	VERB
ས་	གིས་	PART
གདུངས་པ་	གདུངས་པ་	VERB
ལ་	ལ་	ADP
། །		PUNCT
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
དབྱིངས་	དབྱིངས་	NOUN
ན་	ནས་	PART
བྱམས་པ་	བྱམས་པ་	PROPN
འི་	གི་	PART
སྤྲིན་	སྤྲིན་	NOUN
ཕྱུང་	ཕྱུང་	VERB
སྟེ་	སྟེ་	PART
། །		PUNCT
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
འི་	གི་	PART
ཆ་	ཆ་	NOUN
ར་	ལ་	PART
གྱིས་	གིས་	PART
གདུང་བ་	གདུང་བ་	VERB
སེལ་	སེལ་	VERB
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
། །		PUNCT
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
ཞབས་	ཞབས་	NOUN
ལ་	ལ་	ADP
གུ་	གུ་	VERB
བཏུད་	བཏུད་	NO_POS
དེ་	དེ་	DET
། །		PUNCT
དེ་	དེ་	DET
ཡི་	ཡི་	ADP
རྣམ་ཐར་	རྣམ་ཐར་	NOUN
དྲི་མེད་	དྲི་མེད་	ADJ
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
། །		PUNCT
སྒྲོ་སྐུར་	སྒྲོ་སྐུར་	NOUN
ཚིག་	ཚིག་	NOUN
གིས་	གིས་	PART
སྤྲོས་པ་	སྤྲོས་པ་	VERB
མ་	མ་	PART
ཞུགས་པ་	ཞུགས་པ་	VERB
། །		PUNCT
རང་	རང་	PRON
གི་	གི་	PART
བློ་	བློ་	NOUN
ཡི་	ཡི་	ADP
རྩལ་	རྩལ་	NOUN
དང་	དང་	NO_POS
སྦྱར་བ་	སྦྱར་བ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
། །		PUNCT
ཆུ་ཐིགས་	ཆུ་ཐིགས་	NOUN
ཙམ་	ཙམ་	DET
ཞིག་	ཅིག་	PART
གུས་པ་	གུས་པ་	VERB
ས་	གིས་	PART
བླང་	བླང་	NO_POS
གིས་	གིས་	PART
ཉོན་	ཉོན་	VERB
། །		PUNCT
རྒྱ་གར་	རྒྱ་གར་	PROPN
ཤར་ཕྱོགས་	ཤར་ཕྱོགས་	NOUN
ཟ་ཧོར་	ཟ་ཧོར་	PROPN
ཡུལ་ཕྱོགས་	ཡུལ་ཕྱོགས་	NOUN
ན་	ན་	ADP
། །		PUNCT
བྷཾ་		NON_WORD
ག་ལ་	ག་ལ་	NO_POS
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
གྲོང་ཁྱེར་	གྲོང་ཁྱེར་	NOUN
ཡོད་	ཡོད་	VERB
། །		PUNCT
དེ་	དེ་	DET
ཡི་	ཡི་	ADP
ས་བདག་	ས་བདག་	NOUN
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ནི་	ནི་	NO_POS
། །		PUNCT
དགེ་བ་	དགེ་བ་	VERB
དཔལ་	དཔལ་	OTHER
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
བསོད་ནམས་	བསོད་ནམས་	NOUN
འབའ་	འབའ་	VERB
། །		PUNCT
དེ་	དེ་	DET
ཡི་	ཡི་	ADP
ཕོ་བྲང་	ཕོ་བྲང་	NOUN
གསེར་	གསེར་	NOUN
གྱི་	གི་	PART
