form	lemma	POS	morph
ཇོ་བོ་	ཇོ་བོ་	NOUN
རྗེས་	རྗེས་	NOUN
མཉམ་མེད་	མཉམ་མེད་	ADJ
གསེར་	གསེར་	NOUN
གླིང་པ་	གླིང་པ་	NOUN
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
གྲགས་པ་	གྲགས་པ་	VERB
དང་	དང་	NO_POS
མཇལ་བ་	མཇལ་བ་	VERB
འི་	གི་	PART
རྣམ་ཐར་	རྣམ་ཐར་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	སོ་	PART
། །		PUNCT
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
བྱམས་པ་	བྱམས་པ་	PROPN
དང་	དང་	NO_POS
སྤྱན་རས་	སྤྱན་རས་	NO_POS
གཟིགས་	གཟིགས་	VERB
ལ་	ལ་	ADP
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	ལོ་	NOUN
། །		PUNCT
དགེ་སློང་	དགེ་སློང་	NOUN
དཱི་		NON_WORD
པཾ་		NON_WORD
ཀཱ་	ཀཱ་	NO_POS
ར་	ར་	ADP
ཤྲཱི་		NON_WORD
ཛྙཱ་ན་	ཛྙཱ་ན་	PROPN
བདག་	བདག་	PRON
གིས་	གིས་	PART
ཟླ་བ་	ཟླ་བ་	NOUN
བཅུ་གསུམ་	བཅུ་གསུམ་	NO_POS
གྱི་	གི་	PART
བ་	བ་	NOUN
དུ་	ལ་	PART
གཟིངས་	གཟིངས་	NOUN
ཀྱི་	གི་	PART
ནང་	ནང་	NOUN
དུ་	ལ་	PART
ཞུགས་	ཞུགས་	VERB
ན་	ནས་	PART
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
གསེར་	གསེར་	NOUN
གླིང་པ་	གླིང་པ་	NOUN
འི་	གི་	PART
དྲུང་	དྲུང་	NOUN
དུ་	ལ་	PART
ཕྱིན་པ་	ཕྱིན་པ་	VERB
ན་	ན་	ADP
། །		PUNCT
ཟླ་བ་	ཟླ་བ་	NOUN
ལྔ་	ལྔ་	NUM
ཙམ་	ཙམ་	DET
འདས་པ་	འདས་པ་	VERB
འི་	གི་	PART
དུས་	དུས་	NOUN
སུ་	སུ་	ADP
ལྷ་	ལྷ་	NOUN
འི་	གི་	PART
བུ་	བུ་	NOUN
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ས་	གིས་	PART
།		PUNCT
ཁོ་བོ་	ཁོ་བོ་	PRON
འི་	གི་	PART
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ཀྱི་	གི་	PART
སེམས་	སེམས་	NOUN
བ་	བ་	NOUN
དུ་	ལ་	PART
གཅོད་པ་	གཅོད་པ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
།		PUNCT
མི་མཐུན་པ་	མི་མཐུན་པ་	NO_POS
འི་	གི་	PART
རླུང་དམར་	རླུང་དམར་	OTHER
ཆེན་པོ་	ཆེན་པོ་	ADJ
གཡོ་	གཡོ་	VERB
།		PUNCT
ཆུ་སྲིན་	ཆུ་སྲིན་	NOUN
ཉ་	ཉ་	NOUN
མིད་	མིད་	NO_POS
ཆེན་པོ་	ཆེན་པོ་	ADJ
ར་	ལ་	PART
བྱ་	བྱ་	VERB
ཏེ་	སྟེ་	PART
མདུན་	མདུན་	NOUN
བཀག་	བཀག་	VERB
།		PUNCT
ནམ་མཁའ་	ནམ་མཁའ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
ཁོ་བོ་	ཁོ་བོ་	PRON
འི་	གི་	PART
སྟེང་	སྟེང་	NOUN
དུ་	ལ་	PART
ཐོག་	ཐོག་	NOUN
ཕབ་	ཕབ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
དུས་	དུས་	NOUN
སུ་	སུ་	ADP
ཁོ་བོ་	ཁོ་བོ་	PRON
ས་	གིས་	PART
བྱམས་པ་	བྱམས་པ་	PROPN
དང་	དང་	NO_POS
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
ཁྱད་པར་ཅན་	ཁྱད་པར་ཅན་	ADJ
གཅིག་	གཅིག་	NUM
བསྒོམས་པ་	བསྒོམས་པ་	VERB
ལ་	ལ་	ADP
བརྟེན་	བརྟེན་	VERB
ན་	ནས་	PART
རླུང་དམར་	རླུང་དམར་	OTHER
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཞི་	ཞི་	VERB
ན་	ནས་	PART
།		PUNCT
ཐོག་	ཐོག་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
དྲུག་	དྲུག་	NUM
ནམ་མཁའ་	ནམ་མཁའ་	NOUN
ལ་	ལ་	ADP
ཆགས་	ཆགས་	VERB
འདུག་པ་	འདུག་པ་	VERB
མཐོང་	མཐོང་	VERB
།		PUNCT
འོན་ཀྱང་	འོན་ཀྱང་	NO_POS
ཆུ་སྲིན་	ཆུ་སྲིན་	NOUN
དེ་	དེ་	DET
ས་	གིས་	PART
མདུན་	མདུན་	NOUN
བཀག་པ་	བཀག་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
རླུང་	རླུང་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
དེ་	དེ་	DET
ས་	གིས་	PART
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
ཁ་	ཁ་	PRON
འཁྱོམས་པ་	འཁྱོམས་པ་	NO_POS
འི་	གི་	PART
སྟོབས་	སྟོབས་	NOUN
ཀྱིས་	གིས་	PART
གཟིངས་	གཟིངས་	NOUN
དེ་ཡང་	དེ་ཡང་	ADV
དར་པོ་	དར་པོ་	NO_POS
ཆེ་	ཆེ་	VERB
རླུང་	རླུང་	NOUN
གིས་	གིས་	PART
བསྐྱོད་པ་	བསྐྱོད་པ་	VERB
བཞིན་	བཞིན་	NOUN
དུ་	ལ་	PART
འདར་བ་	འདར་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
འཕྱར་བ་	འཕྱར་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
རེས་འགའ་	རེས་འགའ་	NO_POS
ནམ་མཁའ་	ནམ་མཁའ་	NOUN
ལ་	ལ་	ADP
འཁྱེར་བ་	འཁྱེར་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
རེས་འགའ་	རེས་འགའ་	NO_POS
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
གཏིང་	གཏིང་	NOUN
དུ་	ལ་	PART
བརྡིབ་པ་	བརྡིབ་པ་	NON_WORD
དང་	དང་	NO_POS
།		PUNCT
ཕྱོགས་	ཕྱོགས་	NOUN
ཀྱི་	གི་	PART
བ་དན་	བ་དན་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
བཞི་	བཞི་	NUM
བསྙལ་	བསྙལ་	NO_POS
།		PUNCT
ཁྲོ་ཆུ་	ཁྲོ་ཆུ་	OTHER
འི་	གི་	PART
ཕ་བོང་	ཕ་བོང་	NOUN
བཞི་	བཞི་	NUM
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
གཏིང་	གཏིང་	NOUN
དུ་	ལ་	PART
བསྐྱུར་	བསྐྱུར་	NO_POS
ཡང་	ཀྱང་	PART
།		PUNCT
ཕྱོགས་	ཕྱོགས་	NOUN
བཞི་	བཞི་	NUM
ན་	ནས་	PART
རྔ་ཆེན་པོ་	རྔ་ཆེན་པོ་	OTHER
བཞི་	བཞི་	NUM
བརྡུང་པ་	བརྡུང་པ་	NO_POS
ལྟ་	ལྟ་	OTHER
འུར་སྒྲ་	འུར་སྒྲ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
ཆོམ་	ཆོམ་	NO_POS
སྒྲ་	སྒྲ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
འོད་	འོད་	NOUN
དང་	དང་	NO_POS
།		PUNCT
སྐམ་གློག་	སྐམ་གློག་	NO_POS
ཆེན་པོ་	ཆེན་པོ་	ADJ
བྱུང་བ་	བྱུང་བ་	VERB
